BlockID StartX[Km] EndX[Km]
@37-blockSets56@ 36.207 36.637
@38-blockSets56@ 36.637 36.944
@39-blockSets56@ 36.944 37.067
@40-blockSets56@ 37.067 37.433
@41-blockSets56@ 37.433 37.497
@42-blockSets56@ 37.497 37.927
@43-blockSets56@ 37.927 38.295
@44-blockSets56@ 38.295 38.357
@45-blockSets56@ 38.357 38.787
@46-blockSets56@ 38.787 39.217
@47-blockSets56@ 39.217 39.647
@48-blockSets56@ 39.647 40.077
@49-blockSets56@ 40.077 40.507
@50-blockSets56@ 40.507 40.937
@51-blockSets56@ 40.937 41.367
@52-blockSets56@ 41.367 41.797
@53-blockSets56@ 41.797 42.227
@54-blockSets56@ 42.227 42.657
@55-blockSets56@ 42.657 42.7745
@56-blockSets56@ 42.7745 43.087
@57-blockSets56@ 43.087 43.517
@58-blockSets56@ 43.517 43.947
@59-blockSets56@ 43.947 44.377
@60-blockSets56@ 44.377 44.807
@61-blockSets56@ 44.807 45.237
@62-blockSets56@ 45.237 45.667
@63-blockSets56@ 45.667 45.9345
@64-blockSets56@ 45.9345 46.06
@65-blockSets56@ 46.06 46.527
@66-blockSets56@ 46.527 46.6555
@67-blockSets56@ 46.6555 46.819
@68-blockSets56@ 46.819 46.957
@69-blockSets56@ 46.957 47.002
@70-blockSets56@ 47.002 47.062
@71-blockSets56@ 47.062 47.387
@72-blockSets56@ 47.387 47.817
@73-blockSets56@ 47.817 48.247
@74-blockSets56@ 48.247 48.677
@75-blockSets56@ 48.677 49.107
@76-blockSets56@ 49.107 49.223
@0-blockSets57@ 23.596 24.026
@1-blockSets57@ 24.026 24.221
@0-blockSets58@ 30.169 30.599
@1-blockSets58@ 30.599 30.7125
@2-blockSets58@ 30.7125 30.796
@0-blockSets59@ 30.364 30.6105
@1-blockSets59@ 30.6105 30.639
@0-blockSets60@ 30.412 30.506
@1-blockSets60@ 30.506 30.64
@2-blockSets60@ 30.64 30.707
@3-blockSets60@ 30.707 30.734
@4-blockSets60@ 30.734 31.222
@5-blockSets60@ 31.222 31.242
@0-blockSets61@ 30.492 30.592
@0-blockSets62@ 30.569 30.589
@1-blockSets62@ 30.589 30.6075
@2-blockSets62@ 30.6075 30.626
@3-blockSets62@ 30.626 30.644
@4-blockSets62@ 30.644 30.67
@5-blockSets62@ 30.67 31.284
@6-blockSets62@ 31.284 31.304
@0-blockSets63@ 30.574 30.589
@1-blockSets63@ 30.589 30.604
@0-blockSets64@ 30.59 30.608
@1-blockSets64@ 30.608 30.626
@2-blockSets64@ 30.626 30.649
@3-blockSets64@ 30.649 31.192
@4-blockSets64@ 31.192 31.212
@0-blockSets65@ 30.606 30.626
@1-blockSets65@ 30.626 30.644
@2-blockSets65@ 30.644 30.662
@0-blockSets66@ 30.611 30.626
@1-blockSets66@ 30.626 30.641
@0-blockSets67@ 30.611 30.626
@1-blockSets67@ 30.626 30.641
@0-blockSets68@ 33.326 33.756
@1-blockSets68@ 33.756 34.186
@2-blockSets68@ 34.186 34.259
@3-blockSets68@ 34.259 34.424
@4-blockSets68@ 34.424 34.564
@5-blockSets68@ 34.564 34.616
@6-blockSets68@ 34.616 35.046
@7-blockSets68@ 35.046 35.346
@0-blockSets69@ 33.566 33.996
@1-blockSets69@ 33.996 34.426
@2-blockSets69@ 34.426 34.856
